occurrence_id,passage_id,deal_id,document_id,accession_number,document_type,document_family,source_url,heading,block_start,block_end,char_start,char_end,duplicate_group_id,content_sha256
occurrence_57eb263418c92a0b,passage_c88b268c4ea1b722,3984774040,supp_27bba806dccbb131,,primary_sec_filing,official_announcement,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,,194,194,43602,45092,duplicate_c88b268c4ea1b722,c88b268c4ea1b722fb5b9f1b856fe3f99b58d1ad1d69bd773730a115cbd479d0
occurrence_58926f6c894ed717,passage_6165a0701c7135a5,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1697,1697,58521,58632,duplicate_6165a0701c7135a5,6165a0701c7135a5cf309e05d29023b4e1475bbd62ad4c0a8432adc9af988e79
occurrence_59d796959704af36,passage_ca105f56c1a47a59,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,172,172,4713,4852,duplicate_ca105f56c1a47a59,ca105f56c1a47a5942f5f472f59d1f2ace73c58b76dca50175c3c123545f977d
occurrence_5c63a40bde32d2ab,passage_b61a12d56792d283,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1268,1268,44456,44546,duplicate_b61a12d56792d283,b61a12d56792d283b7fe96167ad86df1acd23fdbd6f6b69bd5c44af6b98b330a
occurrence_628c9584c2e2c660,passage_a0f9acef0fdc5332,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,947,947,33370,33458,duplicate_a0f9acef0fdc5332,a0f9acef0fdc533260a1ddb3c761aedaf266373fd1f11f780e176ba963112934
occurrence_6bb26b1d2472c4ef,passage_04fd3d2318ca0670,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,764,764,27024,27130,duplicate_04fd3d2318ca0670,04fd3d2318ca0670cd36e2838048637ea8b0d2d9f7f839b7af2aee8cf952ee93
occurrence_6e300e06f2ada8df,passage_6d5b73b4b3d18264,3078525020,supp_327ff1ecfdd9a623,,official_company_announcement,official_announcement,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,,247,247,21816,23249,duplicate_6d5b73b4b3d18264,6d5b73b4b3d18264ce7fa672387b33ac033633c71c3ec6f1d0e2e77a50140bee
occurrence_72817e5ccfd10813,passage_6d3ecd439b83874c,3947466040,supp_cedfc0619ce50a42,,official_company_announcement,official_announcement,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,,46,46,5680,5991,duplicate_6d3ecd439b83874c,6d3ecd439b83874cde729e8660a60283ae430ca528b2d3de3443dc5418f17fa8
occurrence_72f9860106639939,passage_2370eb8b672cf483,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,336,336,10884,10922,duplicate_2370eb8b672cf483,2370eb8b672cf483d36d204d10b53d737c947d2af7af246f1a876446ecdb3b09
occurrence_7cf4c56459f214ef,passage_47b20fe4d63ccae0,3257183040,supp_2d6e94103484791d,,official_company_press_release_distributor,official_announcement,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,,112,112,2532,2555,duplicate_47b20fe4d63ccae0,47b20fe4d63ccae02babc2656eb3299cc7f465c411fad808abed762a0d3d850a
occurrence_82a3a87dc1162ae2,passage_243beb2712293a24,3939905020,supp_e28fecde52a19db4,,official_company_announcement,official_announcement,https://www.glia.com/news/glia-acquires-finn-ai,,33,33,4617,5956,duplicate_243beb2712293a24,243beb2712293a24fc6b8426c3697177350ecee0ac49831443529aa335cb41ec
occurrence_84f7737c3b3fe8dc,passage_fbc9df1cbeb51993,3727571020,supp_f56ffb1c8870a6f6,,official_company_press_release_distributor,official_announcement,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,,57,57,5514,6243,duplicate_fbc9df1cbeb51993,fbc9df1cbeb51993636d71566a088e1ae6cd4c78c27ec141db1f0a95b67339b9
occurrence_8e37ec8263675c2e,passage_bcbca2530b3bb203,3078525020,supp_327ff1ecfdd9a623,,official_company_announcement,official_announcement,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,,248,248,23250,24738,duplicate_bcbca2530b3bb203,bcbca2530b3bb20385c7d4c2c8a9b807c3b0b1e45b2d5eeea79ca18cdfb02b41
occurrence_92c49c8675eaac9e,passage_d4582714563ad8fe,3939905020,supp_e28fecde52a19db4,,official_company_announcement,official_announcement,https://www.glia.com/news/glia-acquires-finn-ai,,39,39,8025,9603,duplicate_d4582714563ad8fe,d4582714563ad8feef7b7eeee2ab86002fbc5bb3637a783bb0ccd142f3bacec0
occurrence_9feede83a1d8a1e6,passage_215c6c7df4fb7b17,3153170020,supp_6bb6449c48074311,,official_company_announcement,official_announcement,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,37,37,3333,3766,duplicate_215c6c7df4fb7b17,215c6c7df4fb7b172277326d1d0d3538d086b27317b14bd6378b1bc6a222ecb7
occurrence_a24358fc9d629275,passage_57b4e08be826d747,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,2018,2018,68513,68604,duplicate_57b4e08be826d747,57b4e08be826d7478ebdc984ef7b038bab09517c4ee1c402a80e42a81b16dd9b
occurrence_a25df2afcb8a3620,passage_2ffc7e5b56643e2b,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,755,755,26688,26786,duplicate_2ffc7e5b56643e2b,2ffc7e5b56643e2bb6f183ccda1f6516af48734ec05f5b581e46a3054ca8367c
occurrence_a3e04909123b1d53,passage_2958eb660ddb6681,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1448,1448,50636,50716,duplicate_2958eb660ddb6681,2958eb660ddb6681edea90c5a580983e8526ae00297f53f0a696a73163fe9691
