deal_id,passages,tokens,mean_net_tone_per100,mean_net_tone_residual,mean_hedge_per100,mean_hedge_residual,mean_negout_per100,mean_negout_residual,mean_protect_per100,mean_protect_residual,mean_modality_shall_share
2647141020,1,161,0.621118,-0.051025,1.863354,1.384955,0.000000,-0.017498,0.000000,-0.786104,0.000000
3083608020,26,3220,0.321987,0.231010,0.383338,-0.412706,0.064548,0.016281,0.768272,-0.374202,0.384615
3307784020,2,279,1.482548,0.810405,0.220264,-0.258135,0.000000,-0.017498,0.220264,-0.565840,0.000000
3480790020,59,8361,0.441886,0.099901,0.696450,0.085470,0.011770,-0.049632,0.949035,-0.081844,0.351090
3501600020,38,3908,0.831512,0.740535,0.294919,-0.501126,0.000000,-0.048267,0.415190,-0.727284,0.270175
3508567020,9,802,-2.213633,-2.141701,0.454545,-0.427867,0.000000,-0.031824,0.798358,-0.292271,0.000000
3510405040,4,803,-0.290941,-0.527210,1.032333,0.315700,0.000000,-0.040575,0.568182,-0.485199,0.416667
3510982020,1,50,0.000000,0.118352,0.000000,-0.657216,0.000000,-0.008341,0.000000,-0.947278,0.000000
3515714020,53,6171,0.598119,0.249225,0.545955,-0.067557,0.034883,-0.023375,0.608962,-0.416191,0.307278
3517450020,187,22625,0.087975,-0.312989,1.019249,0.266024,0.021408,-0.031568,0.914073,-0.088480,0.142424
3517988020,5,583,1.069782,0.664745,1.366798,0.612117,0.000000,-0.035106,0.238095,-0.752930,0.000000
3519983020,93,11731,0.203326,-0.197120,0.739406,0.173926,0.056954,-0.008840,1.217887,0.210815,0.253840
3520113020,17,1905,0.388054,0.297077,0.693453,-0.102592,0.000000,-0.048267,0.557134,-0.585339,0.568627
3520778020,2,205,-1.176471,-1.591589,0.000000,-0.555941,0.000000,-0.066912,0.588235,-0.417309,0.000000
3521692020,20,1400,0.250997,-0.032123,0.573196,-0.082010,0.108696,0.062188,0.112935,-0.877442,0.200000
3522125040,4,197,0.757576,0.085433,0.943732,0.465333,0.000000,-0.017498,0.000000,-0.786104,0.000000
3523484020,34,3564,0.424613,-0.005053,0.314233,-0.235564,0.122346,0.062970,0.525679,-0.452335,0.117647
3525025040,60,7260,0.161958,-0.042115,0.806503,-0.096530,0.000000,-0.118960,0.664808,-0.350501,0.100000
3526012020,40,5373,-0.048107,-0.463225,0.311629,-0.244311,0.026755,-0.040158,1.564598,0.559054,0.441667
3545651040,28,1627,0.263101,-0.127652,0.301094,-0.270689,0.024462,-0.040594,0.114926,-0.893154,0.130952
3560444020,3,270,1.217733,0.545590,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3567824020,46,5305,0.031626,0.316063,0.767324,-0.089973,0.021739,-0.133644,0.723375,-0.332513,0.263043
3571964020,1,104,0.000000,0.017308,1.923077,0.979717,0.000000,-0.088840,0.961538,-0.325051,1.000000
3575962020,95,18434,-0.277577,-0.515127,0.745409,0.059461,0.071482,0.016939,0.623361,-0.441144,0.463383
3584303020,1,221,0.904977,1.172065,2.714932,1.715405,0.000000,-0.014941,0.452489,-0.624050,0.000000
3586998020,22,2224,-0.117486,-0.501594,0.308794,-0.267310,0.151515,0.086965,0.653492,-0.355280,0.090909
3590925020,2,100,1.315789,1.582877,0.000000,-0.999527,0.000000,-0.014941,0.000000,-1.076539,0.000000
3593724020,2,148,1.352339,0.680196,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3595648020,214,26560,-0.426642,-0.586941,1.083215,0.155604,0.017065,-0.056967,1.307643,0.113164,0.087617
3600947020,227,24132,-0.214703,-0.296291,0.795641,-0.060494,0.038922,-0.033307,2.054403,0.863369,0.202888
